time,adj close,vol90_BTC,vol30_BTC,vol7_BTC,price_ETH,vol90_ETH,vol30_ETH,vol7_ETH,
2016/2/13,393,0,15.4213276,4.692090609,0 ,0,0,0,
2016/2/14,408.3,0,12.98111626,7.772754614,0 ,0,0,0,
2016/2/15,399.9,0,12.97017622,12.91212055,0 ,0,0,0,
2016/2/16,407.3,0,13.25600319,12.5826411,0 ,0,0,0,
2016/2/17,414.9,0,13.85787838,12.63295011,0 ,0,0,0,
2016/2/18,421.5,0,14.84693397,13.73216592,0 ,0,0,0,
2016/2/19,420,0,16.06823131,13.12280821,0 ,0,0,0,
2016/2/20,438.7,0,16.1088856,10.43818539,0 ,0,0,0,
2016/2/21,440.5,0,18.13355434,12.62708729,0 ,0,0,0,
2016/2/22,440.3,0,20.34513385,15.06862082,0 ,0,0,0,
2016/2/23,421.1,0,22.20984456,13.57064409,0 ,0,0,0,
2016/2/24,426.4,0,22.73823278,11.16062381,0 ,0,0,0,
2016/2/25,424.9,0,23.51277105,9.627465671,0 ,0,0,0,
2016/2/26,435.3,0,24.14118649,9.216780762,0 ,0,0,0,
2016/2/27,434.2,0,25.19694015,8.124419393,0 ,0,0,0,
2016/2/28,434.5,0,25.82223848,7.715877261,0 ,0,0,0,
2016/2/29,439.2,0,26.28625553,6.877949584,0 ,0,0,0,
2016/3/1,434.8,0,26.78950322,6.637268514,0 ,0,0,0,
2016/3/2,422.2,0,26.43797426,5.154563397,0 ,0,0,0,
2016/3/3,420.6,0,25.81668444,6.163564213,0 ,0,0,0,
2016/3/4,408.8,0,25.10880438,7.143728518,0 ,0,0,0,
2016/3/5,397.4,0,23.97547813,10.87042734,0 ,0,0,0,
2016/3/6,403.9,0,23.79601652,15.25112018,0 ,0,0,0,
2016/3/7,412.7,0,23.41030547,15.61929515,0 ,0,0,0,
2016/3/8,411.4,0,22.35144985,12.57588395,0 ,0,0,0,
2016/3/9,412.9,0,21.04166529,8.764131446,0 ,0,0,0,
